Treatment,Plate,Gametophyte,YII,Notes,,
Control,BSE24,1,0.254,,,
Control,BSE19,1,0.276,,,
Control,BSE23,1,0.241,,,
Control,BSE20,1,0.242,Algae,,
Control,BSE11,1,0.297,Algae,,
Control,BSE28,1,0.261,,,
Control,BSE21,1,0.149,,,
Control,BSE27,1,0.206,,,
Control,BSE26,1,0.227,,,
Control,BSE22,1,0.237,,,
Control,BSE25,1,0.184,,,
Control,BSE24,2,0.232,,,
Control,BSE23,2,0.248,,,
Control,BSE20,2,0.194,,,
Control,BSE11,2,0.296,Algae,,
Control,BSE28,2,0.117,,,
Control,BSE27,2,0.226,,,
Control,BSE21,2,0.214,,,
Control,BSE26,2,0.23,Kinda folded,, 
Control,BSE22,2,0.205,,,
Control,BSE25,2,0.167,Folded,,
Control,BSE24,3,0.233,,,
Control,BSE23,3,0.299,,,
Control,BSE20,3,0.308,Algae,,
Control,BSE11,3,0.264,Algae,,
Control,BSE28,3,0.237,Folded,,
Control,BSE27,3,0.23,,,
Control,BSE21,3,0.205,,,
Control,BSE26,3,0.214,,,
Control,BSE22,3,0.102,,,
Control,BSE25,3,0.19,,,
Control,BSE24,4,0.223,,,
Control,BSE23,4,0.274,,,
Control,BSE20,4,0.331,Algae,,
Control,BSE11,4,0.324,Algae,,
Control,BSE27,4,0.157,,,
Control,BSE21,4,0.202,,,
Control,BSE26,4,0.218,,,
Control,BSE22,4,0.185,,,
Control,BSE25,4,0.197,,,
Control,BSE24,5,0.301,,,
Control,BSE23,5,0.321,,,
Control,BSE20,5,0.353,Folded gametophyte,,
Control,BSE27,5,0.277,,,
Control,BSE26,5,0.298,,,
Control,BSE22,5,0.246,,,
Control,BSE25,5,0.247,Folded gametophyte,,
Control,BSE24,6,0.192,,,
Control,BSE23,6,0.316,,,
Control,BSE27,6,0.266,,,
Control,BSE26,6,0.286,,,
Control,BSE22,6,0.245,Folded gametophyte,,
Control,BSE23,7,0.322,Folded gametophyte,,
Control,BSE26,7,0.202,,,
Control,BSE22,7,0.176,Folded gametophyte,,
Control,BSE26,8,0.256,Folded gametophyte,,
Treatment,BSE8,1,0.436,,,
Treatment,BSE2,1,0.546,,,
Treatment,BSE10,1,0.762,,,
Treatment,BSE12,1,0.693,,,
Treatment,BSE7,1,0.512,,,
Treatment,BSE6,1,0.563,,,
Treatment,BSE4,1,0.454,,,
Treatment,BSE3,1,0.537,,,
Treatment,BSE1,1,0.244,,,
Treatment,BSE14,1,0.676,,,
Treatment,BSE9,1,0.279,,,
Treatment,BSE8,2,0.368,,,
Treatment,BSE12,2,0.703,Folded gameophyte,,
Treatment,BSE4,2,0.528,,,
Treatment,BSE3,2,0.411,Folded gametophyte,,
Treatment,BSE1,2,0.204,,,
Treatment,BSE8,3,0.46,,,
Treatment,BSE4,3,0.4,,,
Treatment,BSE3,3,0.303,,,
Treatment,BSE3,4,0.399,,,
