Sample,Treatment,First_germ
BSE1,Treatment,21
BSE2,Treatment,21
BSE3,Treatment,18
BSE4,Treatment,18
BSE5,Treatment,21
BSE6,Treatment,21
BSE7,Treatment,21
BSE8,Treatment,21
BSE9,Treatment,25
BSE10,Treatment,21
BSE11,Control,16
BSE12,Treatment,21
BSE13,Treatment,NA
BSE14,Treatment,21
BSE15,Control,NA
BSE16,Control,NA
BSE17,Treatment,NA
BSE18,Control,16
BSE19,Control,18
BSE20,Control,16
BSE21,Control,16
BSE22,Control,16
BSE23,Control,16
BSE24,Control,16
BSE25,Control,16
BSE26,Control,16
BSE27,Control,16
BSE28,Control,16
