Treatment,Plate,Gametophyte,YII,Notes
Treatment,SPHO27,1,0.359,
Treatment,SPHO24,1,0.292,
Treatment,SPHO17,1,0.598,
Treatment,SPHO23,1,0.46,
Treatment,SPHO28,1,0.257,
Treatment,SPHO22,1,0.291,
Treatment,SPHO25,1,0.517,algae
Treatment,SPHO20,1,0.502,algae
Treatment,SPHO15,1,0.562,
Treatment,SPHO27,2,0.383,
Treatment,SPHO24,2,0.313,
Treatment,SPHO17,2,0.401,
Treatment,SPHO23,2,0.31,
Treatment,SPHO28,2,0.199,
Treatment,SPHO22,2,0.36,
Treatment,SPHO25,2,0.55,algae
Treatment,SPHO20,2,0.508,algae
Treatment,SPHO15,2,0.47,
Treatment,SPHO27,3,0.31,
Treatment,SPHO24,3,0.339,
Treatment,SPHO17,3,0.409,
Treatment,SPHO23,3,0.292,
Treatment,SPHO28,3,0.237,
Treatment,SPHO22,3,0.351,
Treatment,SPHO25,3,0.438,algae
Treatment,SPHO20,3,0.501,algae
Treatment,SPHO27,4,0.321,
Treatment,SPHO24,4,0.214,
Treatment,SPHO17,4,0.367,
Treatment,SPHO23,4,0.317,
Treatment,SPHO22,4,0.302,
Treatment,SPHO25,4,0.48,algae
Treatment,SPHO20,4,0.498,algae
Treatment,SPHO27,5,0.267,
Treatment,SPHO24,5,0.162,
Treatment,SPHO17,5,0.359,
Treatment,SPHO22,5,0.219,
Treatment,SPHO25,5,0.44,algae
Treatment,SPHO20,5,0.534,algae
Treatment,SPHO27,6,0.287,
Treatment,SPHO24,6,0.232,
Treatment,SPHO17,6,0.27,
Treatment,SPHO25,6,0.347,algae
Treatment,SPHO20,6,0.483,algae
Treatment,SPHO27,7,0.256,
Treatment,SPHO17,7,0.305,
Treatment,SOHO25,7,0.41,algae
Treatment,SPHO20,7,0.449,algae
Treatment,SPHO27,8,0.331,
Treatment,SPHO17,8,0.327,
Treatment,SPHO25,8,0.565,algae
Treatment,SPHO25,9,0.393,algae
